UniqueCount	AmbigCount
0	0
0	0
291	1245
168	962
509	654
0	0
453	1
365	1
94	0
0	0
162	0
0	0
588	12
388	0
6	0
0	0
0	0
0	2
18	2
4	0
0	0
0	0
0	0
0	0
11	64
0	40
0	49
0	28
7	24
0	0
3	31
0	26
1	0
0	0
5	0
0	3
0	0
1	0
0	0
2	3
1	0
0	0
4	0
0	39
0	157
88	309
0	9
0	200
113	69
1	157
0	44
18	0
0	139
317	218
0	142
0	40
0	24
3	128
0	65
64	12
0	91
182	1702
7	1657
2	92
37	0
67	372
4	369
8	199
0	119
0	94
24	3
0	0
5	0
66	0
179	128
1	0
0	980
31	1791
71	341
236	1047
95	136
0	40
314	1684
148	642
0	0
1223	271
0	0
46	4
138	101
0	30
0	102
32	37
0	0
0	0
0	0
38	0
0	0
2	77
0	226
155	3888
48	101
0	9
0	1411
0	3321
181	417
0	1298
24	16
9	288
16	3
14	37
3	225
112	4
0	617
266	13
0	12
0	0
2	0
0	1
0	0
47	11
3	1044
3	1041
14	1045
1	11
1	10
4	855
17	786
5	89
0	1033
6	30
0	53
0	148
0	48
0	0
0	0
0	10
0	0
0	0
0	0
0	0
984	2783
10	133
1	5
0	1917
1	553
32	46
86	2722
22	2567
0	0
486	0
1	114
0	0
0	0
0	0
44	0
0	0
4	0
32	0
0	0
14	0
0	0
0	0
0	0
0	0
0	728
0	842
3	943
35	726
0	102
1	7
0	273
87	422
87	435
83	1
7	7
238	20
6	7
81	0
0	0
19	0
0	3
0	0
0	0
0	0
0	0
27	10
43	0
8	0
0	0
0	0
0	0
0	0
0	0
0	0
525	1
13	239
9	222
0	6
2	17
1	166
4	0
0	0
5	0
0	0
2	0
1	1771
4386	3
0	0
67	88
1	88
0	11
2	2
0	27
3347	1
0	39
0	1
0	0
0	0
0	39
0	0
3	0
3	291
0	280
0	307
70	5
0	222
16	238
1	294
3	6
10	20
3	251
109	19
100	19
0	0
0	0
9	12
0	267
0	18
3	17
2	14
1	248
32	67
20	54
0	24
2	32
10	17
0	0
1	7
0	7
4	0
0	2
2	7
0	7
0	3
0	2
0	4
0	0
0	0
211	596
1	158
13	373
0	166
72	403
1	68
15	147
29	0
0	9
79	566
316	106
0	94
0	223
1	23
17	313
52	375
0	61
2	232
5	54
1	37
26	512
0	39
484	38
4	69
46	29
1	18
19	12
2	9
0	3
2	97
29	2
8	22
1	5
3	47
0	0
1654	2582
0	106
16	192
111	73
10	7
10	2205
45	29
1	233
0	0
56	4
0	7
5	7
459	278
0	0
16	0
3	0
0	0
0	0
0	0
0	13
0	0
0	0
2026	1314
109	19
9	524
39	196
0	110
0	125
0	591
0	170
0	0
0	0
5	0
8	1696
16	594
3	70
